7.000000e+00 5.397369e+01 1.946476e+01
1.400000e+01 5.673053e+01 3.431692e+01
2.300000e+01 9.067721e+01 5.138400e+01
2.900000e+01 1.829711e+02 9.626891e+01
3.400000e+01 2.848884e+02 1.478918e+02
3.500000e+01 2.816156e+02 1.362211e+02
3.600000e+01 3.203212e+02 1.620061e+02
3.700000e+01 3.099948e+02 1.958204e+02
4.000000e+01 3.419486e+02 1.699729e+02
4.200000e+01 3.853596e+02 2.499458e+02
4.400000e+01 4.004833e+02 2.191923e+02
4.700000e+01 4.122374e+02 2.300446e+02
4.900000e+01 4.846310e+02 3.328722e+02
5.100000e+01 5.605612e+02 3.248193e+02
5.400000e+01 6.112127e+02 4.153099e+02
5.600000e+01 7.178806e+02 5.204259e+02
6.100000e+01 9.708256e+02 7.438367e+02
6.300000e+01 9.746409e+02 7.101418e+02
6.800000e+01 1.312085e+03 9.633812e+02
