7.000000e+00 2.793960e+01 1.903249e+01
1.400000e+01 4.707915e+01 2.670964e+01
2.300000e+01 6.114015e+01 3.182101e+01
2.900000e+01 1.273430e+02 6.151941e+01
3.400000e+01 2.258439e+02 9.222940e+01
3.500000e+01 2.300104e+02 1.023852e+02
3.600000e+01 2.590092e+02 1.444089e+02
3.700000e+01 2.597572e+02 1.319446e+02
4.000000e+01 3.080637e+02 1.600397e+02
4.200000e+01 3.693839e+02 1.757747e+02
4.400000e+01 3.952250e+02 1.823034e+02
4.700000e+01 4.977864e+02 2.364043e+02
4.900000e+01 5.748754e+02 2.577336e+02
5.100000e+01 5.999902e+02 3.111445e+02
5.400000e+01 6.550464e+02 3.146391e+02
5.600000e+01 8.461825e+02 3.873681e+02
6.100000e+01 1.165648e+03 4.625723e+02
6.300000e+01 1.043765e+03 7.824138e+02
6.800000e+01 1.238730e+03 8.606336e+02
